1,16288,-1752,7104,2,-36,26
2,16312,-1672,7116,-20,-47,44
3,16312,-1712,7116,-34,-69,8
4,16320,-1696,7080,-7,-67,31
5,16316,-1712,7036,-15,-61,66
6,16332,-1748,7040,-39,-51,29
7,16328,-1692,7088,-24,-9,37
8,16280,-1760,7056,-20,-35,43
9,16284,-1772,7052,-16,-61,20
10,16292,-1800,6980,-27,-36,53
11,16328,-1764,7048,-45,-37,17
12,16308,-1704,7044,-58,-27,31
13,16284,-1784,7096,-68,-58,42
14,16300,-1804,7040,-56,-39,32
15,16292,-1756,7124,-59,-19,74
16,16332,-1732,7124,-40,-55,39
17,16336,-1752,7060,-61,-69,29
18,16376,-1708,7156,-31,-36,15
19,16332,-1768,7088,-30,-8,1
20,16352,-1728,7044,-30,-29,54
21,16280,-1700,7020,4,-45,36
22,16320,-1728,7072,1,-23,6
23,16244,-1784,7104,9,-36,25
24,16312,-1724,7140,-12,-45,28
25,16304,-1768,7160,13,-43,33
26,16308,-1744,7140,12,-45,52
27,16272,-1664,7060,-15,-52,39
28,16316,-1708,7092,-8,-53,37
29,16304,-1704,7064,9,-65,20
30,16356,-1720,7204,-4,-52,16
31,16324,-1708,7152,15,-67,76
32,16272,-1724,7064,-5,-52,41
33,16280,-1692,7100,-34,-31,36
34,16332,-1780,7076,-41,-36,50
35,16348,-1748,7104,-2,-47,35
36,16292,-1736,6996,49,-49,24
37,16256,-1748,7060,14,-34,36
38,16248,-1736,7084,23,-29,40
39,16268,-1696,7068,14,-63,43
40,16328,-1736,7156,-9,-67,14
41,16296,-1732,7168,17,-38,4
42,16308,-1740,7076,12,-28,28
43,16292,-1728,7120,2,-31,33
44,16312,-1700,7148,-32,-20,33
45,16284,-1684,7184,-22,-39,48
46,16308,-1736,7128,-28,-60,18
47,16332,-1724,7084,-24,-68,40
48,16280,-1716,7044,9,-30,42
49,16276,-1756,7112,2,-27,11
50,16344,-1784,7024,-25,-41,22
51,16320,-1684,7148,-117,-82,62
52,16304,-1716,7100,-119,-68,36
53,16336,-1780,7056,-51,-71,14
54,16320,-1776,7116,-56,-49,55
55,16280,-1712,7096,-62,-53,56
56,16260,-1716,7148,-40,-57,47
57,16300,-1752,7060,-32,-40,53
58,16264,-1740,7040,-47,-24,7
59,16288,-1712,7032,-66,-39,43
60,16284,-1700,7088,-52,-70,33
61,16308,-1720,7132,-46,-52,29
62,16340,-1672,7132,-35,-68,54
63,16360,-1724,7124,-43,-51,53
64,16344,-1776,7108,-59,-75,34
65,16288,-1692,7112,-48,-84,44
66,16316,-1720,7056,-45,-75,20
67,16308,-1748,7136,-60,-64,29
68,16364,-1764,7168,-69,-48,52
69,16352,-1800,7136,-30,-40,48
70,16316,-1724,7144,-34,-52,14
71,16300,-1744,7048,-62,-64,17
72,16296,-1668,6976,-60,-42,27
73,16276,-1744,7152,-58,-38,53
74,16284,-1784,7120,-25,-55,19
75,16296,-1712,7120,0,-29,62
76,16292,-1728,7120,-72,-43,40
77,16348,-1740,7076,-60,-45,25
78,16300,-1724,7032,-39,-57,18
79,16344,-1788,7108,-35,-50,51
80,16320,-1744,7108,-44,-41,50
81,16320,-1688,7092,-47,-42,22
82,16360,-1692,7108,-83,-33,38
83,16264,-1716,7104,-62,-64,60
84,16304,-1700,7096,-73,-74,36
85,16356,-1756,7132,-71,-51,12
86,16328,-1748,7088,-84,-54,22
87,16348,-1772,7128,-57,-48,20
88,16292,-1772,7120,-79,-75,42
89,16288,-1744,7172,-47,-55,26
90,16308,-1712,7128,-58,-44,76
91,16288,-1764,7176,-35,-64,47
92,16312,-1720,7224,-52,-51,52
93,16340,-1756,7052,-49,-56,47
94,16336,-1776,7152,-87,-91,48
95,16336,-1768,7092,-57,-65,46
96,16368,-1752,7032,-29,-51,51
97,16376,-1704,6992,-42,-55,61
98,16328,-1728,7028,-28,-29,30
99,16316,-1704,7036,-29,-37,53
100,16328,-1724,7176,-28,-29,36
101,16312,-1736,7136,-72,-87,29
102,16336,-1756,7192,-64,-71,40
103,16340,-1712,7068,-75,-74,49
104,16344,-1720,7048,-70,-48,48
105,16280,-1744,7024,-90,-71,24
106,16288,-1692,7028,-89,-64,59
107,16264,-1704,7032,-62,-52,57
108,16264,-1712,7104,-57,-70,13
109,16348,-1768,6996,-82,-88,51
110,16352,-1788,7088,-62,-77,36
111,16352,-1776,7116,-66,-75,6
112,16316,-1692,7164,-65,-68,45
113,16288,-1708,7108,-71,-52,52
114,16340,-1808,7056,-84,-75,10
115,16312,-1792,7044,-65,-80,4
116,16328,-1752,7144,-63,-35,60
117,16268,-1744,7148,-82,-74,66
118,16320,-1728,7152,-107,-73,22
119,16344,-1708,7132,-87,-59,33
120,16328,-1772,7100,-64,-25,27
121,16328,-1760,7036,-64,-40,52
122,16308,-1748,7156,-98,-81,67
123,16320,-1736,7104,-86,-68,37
124,16268,-1692,7052,-65,-58,50
125,16328,-1684,7032,-77,-64,19
126,16348,-1680,7120,-86,-60,25
127,16300,-1708,7120,-79,-58,51
