1,2112,15988,7020,-130,-138,82
2,1764,16180,7096,-161,-126,126
3,1960,16112,7088,0,-54,15
4,1876,16096,7112,135,87,-67
5,1900,16108,7052,-173,-142,135
6,1860,16064,7052,0,6,15
7,1932,16136,7040,-48,-67,73
8,1868,16092,6952,-48,-76,22
9,1844,16112,7044,-39,-40,29
10,1904,16120,6976,47,-5,10
11,1940,16092,7012,-73,-77,7
12,1876,16092,7040,-93,-105,56
13,1864,16140,7080,10,-33,-4
14,1864,16076,6992,28,-31,-6
15,1876,16104,7128,8,-50,40
16,1888,16144,7148,-23,-84,45
17,1844,16112,7096,-24,-44,-2
18,1936,16108,6980,-74,-78,12
19,1832,16140,7128,6,-39,24
20,1908,16096,7092,-47,-99,87
21,1896,16072,6980,-24,-68,44
22,1992,16160,7044,-27,-53,71
23,1896,16176,7080,-35,-70,37
24,1928,16140,7056,49,-4,32
25,1940,16136,7024,-60,-54,59
26,1912,16012,7056,-86,-47,45
27,1956,16140,7120,-18,-53,49
28,1948,16100,7136,-3,-76,49
29,1948,16168,7064,-57,-89,56
30,1904,16140,7036,13,-21,8
31,1876,16152,7108,-9,-73,19
32,1932,16148,7052,-35,-62,26
33,1828,16152,7064,-15,-63,40
34,1928,16120,7004,32,-9,21
35,1904,16080,6988,-16,-55,63
36,1944,16116,6980,-15,-56,71
37,1872,16108,7052,-2,-37,70
38,1912,16096,7072,-21,-65,53
39,1872,16100,7056,-39,-85,45
40,1912,16120,6992,-3,-22,7
41,1852,16176,7036,-56,-39,85
42,1932,16064,7080,-26,-74,39
43,1888,16184,7148,-33,-84,58
44,1896,16080,7084,17,-45,36
45,1928,16088,7096,2,-56,17
46,1860,16144,7064,-62,-93,35
47,1916,16136,7160,-38,-75,60
48,1948,16136,7132,38,-20,-28
49,1948,16148,7060,-41,-77,67
50,1860,16156,7032,-50,-74,40
51,1888,16156,7116,-19,-46,30
52,1936,16148,7024,-9,-44,44
53,1892,16100,7024,-92,-103,42
54,1912,16104,7120,12,2,25
55,1908,16096,7064,-1,-41,41
56,1916,16152,7144,-50,-78,48
57,1944,16104,7128,-65,-69,27
58,1964,16148,7056,-27,-84,58
59,1892,16096,7120,41,-22,-14
60,1984,16124,7036,-74,-89,39
61,1860,16176,7076,-55,-80,31
62,1940,16132,7036,35,-38,-1
63,1888,16124,7116,15,-33,16
64,1848,16116,7076,-32,-55,21
65,1932,16100,6960,-104,-137,62
66,1900,16152,7104,14,9,1
67,1928,16124,7000,-36,-101,56
68,1916,16172,7068,4,-46,74
69,1908,16192,7060,-15,-58,34
70,1900,16100,7084,-1,-27,49
71,1900,16056,7044,-14,-53,39
72,1908,16120,6940,-44,-77,32
73,1856,16080,7012,20,-21,-12
74,1932,16108,7000,-62,-52,39
75,1924,16088,7176,-26,-52,31
76,1908,16144,6976,-68,-73,29
77,1928,16140,7164,-11,3,-9
78,1912,16176,6984,-31,-98,71
79,1876,16132,6988,-1,-21,-4
80,1916,16116,7084,-76,-73,22
81,1880,16188,6980,-53,-81,48
82,1920,16136,6972,26,-33,23
83,1900,16084,7060,-42,-65,10
84,1960,16164,7008,-109,-99,83
85,1856,16104,7032,6,-7,10
86,1940,16076,7088,-44,-80,35
87,1880,16176,7096,30,-21,1
88,1972,16168,6968,-28,-69,43
89,1892,16180,6968,-54,-107,29
90,1944,16140,7112,12,-33,75
91,1940,16176,7104,41,-45,36
92,1848,16144,7120,-78,-72,105
93,1864,16052,7044,8,6,-11
94,1892,16168,7104,-56,-61,63
95,1860,16108,7052,19,-20,33
96,1908,16056,7096,-43,-82,58
97,1884,16120,7056,-49,-72,52
98,1892,16132,7032,-8,-39,12
99,1924,16144,7008,-1,-32,47
100,1876,16136,7048,-75,-74,63
101,1848,16128,7032,-19,-65,24
102,1924,16160,6960,-48,-71,40
103,1972,16124,7124,-44,-41,26
104,1892,16120,7128,8,16,4
105,1916,16140,7036,-63,-82,33
106,1924,16120,7072,-29,-45,69
107,1948,16084,7152,29,-51,21
108,1904,16128,7028,-17,-80,36
109,1856,16116,6972,-56,-55,57
110,1920,16092,7096,-13,-75,34
111,1892,16072,7012,-36,-85,50
112,1956,16076,7044,3,-12,-8
113,1964,16116,6992,-58,-91,38
114,1956,16164,7020,-51,-77,55
115,1932,16124,7092,-14,-20,20
116,1872,16120,7076,-7,-58,27
117,1936,16064,7084,-61,-45,15
118,1904,16100,7052,-36,-32,-1
119,1864,16144,7016,-88,-93,78
120,1892,16116,6976,33,-19,17
121,1836,16092,7096,2,-43,35
122,1972,16128,7048,-57,-89,47
123,1928,16080,7036,-37,-62,40
124,1892,16140,7044,20,5,-8
125,1956,16048,7112,-63,-77,59
126,1884,16200,7104,-86,-65,52
127,1916,16076,7036,30,-11,-20
128,1912,16148,7068,-42,-77,76
129,1892,16148,7076,-36,-59,55
130,1856,16160,7060,24,-30,5
131,1892,16108,7000,-33,-35,32
132,1888,16148,7004,-51,-74,44
133,1896,16100,7032,3,-19,33
134,1888,16124,7076,31,-20,-9
135,1880,16052,7116,-89,-116,69
136,1876,16132,6948,-6,-47,40
137,1828,16140,7040,-25,-56,62
138,1948,16124,7088,-17,-42,39
139,1932,16084,7016,-52,-87,80
140,1924,16140,7052,1,-37,33
141,1908,16096,7072,76,-11,-29
142,1876,16084,6960,-75,-94,69
143,1932,16096,7108,-29,-53,34
144,1956,16156,7076,20,-44,16
145,1884,16160,7016,-13,-44,31
146,1932,16104,7016,-41,-71,81
147,1860,16112,7108,-27,-41,44
148,1880,16152,6964,33,-16,-1
149,1928,16124,7080,-98,-102,67
150,1884,16140,7076,-65,-46,52
151,1896,16136,7060,-7,-47,0
152,1932,16112,7008,-17,-49,17
153,1880,16104,7044,-32,-64,47
154,1928,16176,7016,-70,-80,62
155,1900,16096,7032,44,-16,27
156,1904,16108,7040,-19,-50,28
157,1892,16164,6980,-43,-95,16
158,1920,16152,6968,-45,-76,16
159,1916,16120,7076,24,-46,34
160,1896,16108,7092,-47,-78,13
161,1896,16092,7000,-31,-96,74
162,1916,16096,6992,-21,-28,31
163,1912,16096,6984,-13,-8,45
164,1876,16140,7016,-88,-72,50
165,1920,16156,7060,-59,-80,44
166,1948,16096,7000,4,-6,50
167,1880,16108,7040,43,-45,18
168,1868,16084,7064,-56,-88,47
169,1844,16112,7116,-34,-66,51
170,1944,16112,7052,30,1,-33
171,1912,16060,7032,-78,-41,13
172,1908,16156,7064,-56,-86,66
173,1884,16104,6996,-29,-48,64
174,1904,16116,6928,19,-59,29
175,1884,16148,7108,-26,-57,28
176,1916,16112,7064,-85,-99,82
177,1900,16128,7012,30,-18,8
178,1852,16092,7040,16,-13,11
179,1892,16128,7036,-50,-74,23
180,1852,16136,7072,-54,-103,46
181,1936,16124,7024,-42,-91,52
182,1944,16108,7080,50,37,-24
183,1912,16052,7052,-67,-67,5
184,1852,16160,7056,-60,-79,61
185,1920,16136,7096,3,-45,39
186,1900,16152,7036,11,-23,20
187,1920,16104,7020,-62,-95,45
188,1892,16128,7028,-8,-16,3
189,1964,16124,7032,-11,-73,43
190,1864,16128,7028,-72,-84,29
191,1960,16152,7064,-2,-48,32
192,1880,16100,6980,13,-17,5
193,1936,16152,7056,-38,-66,32
194,1888,16104,7084,-9,-46,20
195,1932,16084,7140,13,8,-16
196,1952,16124,7040,-80,-49,84
197,1928,16132,6988,-4,-34,42
198,1880,16124,7080,-60,-79,41
199,1864,16084,7076,-28,-60,29
200,1828,16132,6996,-18,-60,19
201,1940,16132,7004,20,2,6
202,1888,16080,7128,-66,-82,25
203,1880,16136,7004,-45,-55,35
204,1896,16048,7076,-15,-9,26
205,1896,16152,7032,-95,-45,80
206,1928,16116,7092,-37,-30,26
207,1892,16132,7104,36,-2,16
208,1860,16088,6980,-35,-92,57
209,1888,16076,7076,-51,-73,46
210,1948,16124,7016,20,-36,33
211,1912,16144,7080,-39,-82,34
212,1864,16096,7100,-31,-72,44
213,1896,16152,7052,21,-24,8
214,1852,16096,7036,-28,-41,32
215,1888,16116,7004,-32,-84,56
216,1848,16164,6940,13,-48,9
217,1992,16080,7040,-43,-33,43
218,1916,16112,7036,-56,-76,80
219,1932,16124,7112,31,-38,-1
220,1892,16072,7060,-52,-107,72
221,1932,16112,7008,-57,-83,31
222,1868,16144,7076,25,-11,52
223,1872,16160,7040,6,-31,29
224,1864,16104,7056,-20,-33,9
225,1948,16124,7072,-93,-90,60
226,1928,16120,6972,-28,-46,33
227,1928,16152,6976,-16,-102,49
228,1856,16120,7128,232,111,-81
229,1908,16072,7076,-229,-186,166
230,1856,16168,7032,-103,-62,49
231,1888,16080,7008,67,4,-3
232,1904,16136,7064,26,-43,20
233,1920,16108,7064,-76,-95,93
234,1884,16112,6980,26,-19,50
235,1948,16100,7100,-19,-61,67
236,1920,16116,7092,-24,-52,42
237,1880,16120,7108,-58,-70,60
